datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2021 5:00:00 AM,1/1/2021 12:00:00 AM,RTO,RTO,RTO,RTO,81842.644,False
1/1/2021 6:00:00 AM,1/1/2021 1:00:00 AM,RTO,RTO,RTO,RTO,80005.690,False
1/1/2021 7:00:00 AM,1/1/2021 2:00:00 AM,RTO,RTO,RTO,RTO,78940.704,False
1/1/2021 8:00:00 AM,1/1/2021 3:00:00 AM,RTO,RTO,RTO,RTO,78563.968,False
1/1/2021 9:00:00 AM,1/1/2021 4:00:00 AM,RTO,RTO,RTO,RTO,79136.453,False
1/1/2021 10:00:00 AM,1/1/2021 5:00:00 AM,RTO,RTO,RTO,RTO,80865.889,False
1/1/2021 11:00:00 AM,1/1/2021 6:00:00 AM,RTO,RTO,RTO,RTO,83088.263,False
1/1/2021 12:00:00 PM,1/1/2021 7:00:00 AM,RTO,RTO,RTO,RTO,84833.878,False
1/1/2021 1:00:00 PM,1/1/2021 8:00:00 AM,RTO,RTO,RTO,RTO,86033.226,False
1/1/2021 2:00:00 PM,1/1/2021 9:00:00 AM,RTO,RTO,RTO,RTO,87796.165,False
1/1/2021 3:00:00 PM,1/1/2021 10:00:00 AM,RTO,RTO,RTO,RTO,90205.072,False
1/1/2021 4:00:00 PM,1/1/2021 11:00:00 AM,RTO,RTO,RTO,RTO,92079.283,False
1/1/2021 5:00:00 PM,1/1/2021 12:00:00 PM,RTO,RTO,RTO,RTO,93146.498,False
1/1/2021 6:00:00 PM,1/1/2021 1:00:00 PM,RTO,RTO,RTO,RTO,93046.231,False
1/1/2021 7:00:00 PM,1/1/2021 2:00:00 PM,RTO,RTO,RTO,RTO,92655.357,False
1/1/2021 8:00:00 PM,1/1/2021 3:00:00 PM,RTO,RTO,RTO,RTO,92851.270,False
1/1/2021 9:00:00 PM,1/1/2021 4:00:00 PM,RTO,RTO,RTO,RTO,94717.322,False
1/1/2021 10:00:00 PM,1/1/2021 5:00:00 PM,RTO,RTO,RTO,RTO,97465.344,False
1/1/2021 11:00:00 PM,1/1/2021 6:00:00 PM,RTO,RTO,RTO,RTO,96786.986,False
1/2/2021 12:00:00 AM,1/1/2021 7:00:00 PM,RTO,RTO,RTO,RTO,94880.069,False
1/2/2021 1:00:00 AM,1/1/2021 8:00:00 PM,RTO,RTO,RTO,RTO,92682.462,False
1/2/2021 2:00:00 AM,1/1/2021 9:00:00 PM,RTO,RTO,RTO,RTO,89704.370,False
1/2/2021 3:00:00 AM,1/1/2021 10:00:00 PM,RTO,RTO,RTO,RTO,86316.759,False
1/2/2021 4:00:00 AM,1/1/2021 11:00:00 PM,RTO,RTO,RTO,RTO,82168.556,False
1/2/2021 5:00:00 AM,1/2/2021 12:00:00 AM,RTO,RTO,RTO,RTO,78747.374,False
1/2/2021 6:00:00 AM,1/2/2021 1:00:00 AM,RTO,RTO,RTO,RTO,76229.467,False
1/2/2021 7:00:00 AM,1/2/2021 2:00:00 AM,RTO,RTO,RTO,RTO,74737.754,False
1/2/2021 8:00:00 AM,1/2/2021 3:00:00 AM,RTO,RTO,RTO,RTO,74233.922,False
1/2/2021 9:00:00 AM,1/2/2021 4:00:00 AM,RTO,RTO,RTO,RTO,74570.020,False
1/2/2021 10:00:00 AM,1/2/2021 5:00:00 AM,RTO,RTO,RTO,RTO,75872.555,False
1/2/2021 11:00:00 AM,1/2/2021 6:00:00 AM,RTO,RTO,RTO,RTO,78147.189,False
1/2/2021 12:00:00 PM,1/2/2021 7:00:00 AM,RTO,RTO,RTO,RTO,80856.584,False
1/2/2021 1:00:00 PM,1/2/2021 8:00:00 AM,RTO,RTO,RTO,RTO,82559.557,False
1/2/2021 2:00:00 PM,1/2/2021 9:00:00 AM,RTO,RTO,RTO,RTO,83512.234,False
1/2/2021 3:00:00 PM,1/2/2021 10:00:00 AM,RTO,RTO,RTO,RTO,83752.334,False
1/2/2021 4:00:00 PM,1/2/2021 11:00:00 AM,RTO,RTO,RTO,RTO,83427.866,False
1/2/2021 5:00:00 PM,1/2/2021 12:00:00 PM,RTO,RTO,RTO,RTO,82324.046,False
1/2/2021 6:00:00 PM,1/2/2021 1:00:00 PM,RTO,RTO,RTO,RTO,81467.470,False
1/2/2021 7:00:00 PM,1/2/2021 2:00:00 PM,RTO,RTO,RTO,RTO,80940.243,False
1/2/2021 8:00:00 PM,1/2/2021 3:00:00 PM,RTO,RTO,RTO,RTO,81562.208,False
1/2/2021 9:00:00 PM,1/2/2021 4:00:00 PM,RTO,RTO,RTO,RTO,84227.651,False
1/2/2021 10:00:00 PM,1/2/2021 5:00:00 PM,RTO,RTO,RTO,RTO,89532.821,False
1/2/2021 11:00:00 PM,1/2/2021 6:00:00 PM,RTO,RTO,RTO,RTO,90842.300,False
1/3/2021 12:00:00 AM,1/2/2021 7:00:00 PM,RTO,RTO,RTO,RTO,90011.578,False
1/3/2021 1:00:00 AM,1/2/2021 8:00:00 PM,RTO,RTO,RTO,RTO,88732.886,False
1/3/2021 2:00:00 AM,1/2/2021 9:00:00 PM,RTO,RTO,RTO,RTO,86682.817,False
1/3/2021 3:00:00 AM,1/2/2021 10:00:00 PM,RTO,RTO,RTO,RTO,83885.464,False
1/3/2021 4:00:00 AM,1/2/2021 11:00:00 PM,RTO,RTO,RTO,RTO,80464.306,False
1/3/2021 5:00:00 AM,1/3/2021 12:00:00 AM,RTO,RTO,RTO,RTO,77544.120,False
1/3/2021 6:00:00 AM,1/3/2021 1:00:00 AM,RTO,RTO,RTO,RTO,75623.829,False
1/3/2021 7:00:00 AM,1/3/2021 2:00:00 AM,RTO,RTO,RTO,RTO,74555.481,False
1/3/2021 8:00:00 AM,1/3/2021 3:00:00 AM,RTO,RTO,RTO,RTO,74207.379,False
1/3/2021 9:00:00 AM,1/3/2021 4:00:00 AM,RTO,RTO,RTO,RTO,74470.111,False
1/3/2021 10:00:00 AM,1/3/2021 5:00:00 AM,RTO,RTO,RTO,RTO,75496.338,False
1/3/2021 11:00:00 AM,1/3/2021 6:00:00 AM,RTO,RTO,RTO,RTO,77278.976,False
1/3/2021 12:00:00 PM,1/3/2021 7:00:00 AM,RTO,RTO,RTO,RTO,79798.558,False
1/3/2021 1:00:00 PM,1/3/2021 8:00:00 AM,RTO,RTO,RTO,RTO,82203.294,False
1/3/2021 2:00:00 PM,1/3/2021 9:00:00 AM,RTO,RTO,RTO,RTO,85061.427,False
1/3/2021 3:00:00 PM,1/3/2021 10:00:00 AM,RTO,RTO,RTO,RTO,87185.710,False
1/3/2021 4:00:00 PM,1/3/2021 11:00:00 AM,RTO,RTO,RTO,RTO,88675.352,False
