datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,dasrmcp,total_pjm_rt_load_mwh,total_pjm_cleared_dasr_mwh,total_pjm_dasr_credits,total_pjm_adj_dasr_oblig_mwh
1/1/2017 4:00:00 AM,12/31/2016 11:00:00 PM,1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,0.00000,79992.154000,3779.100,0.00,3779.100
1/1/2017 3:00:00 AM,12/31/2016 10:00:00 PM,1/1/2017 4:00:00 AM,12/31/2016 11:00:00 PM,0.00000,83176.226000,3434.000,0.00,3434.000
1/1/2017 2:00:00 AM,12/31/2016 9:00:00 PM,1/1/2017 3:00:00 AM,12/31/2016 10:00:00 PM,0.00000,86328.849000,3503.800,0.00,3503.800
1/1/2017 1:00:00 AM,12/31/2016 8:00:00 PM,1/1/2017 2:00:00 AM,12/31/2016 9:00:00 PM,0.00000,89186.180000,3447.800,0.00,3447.800
1/1/2017 12:00:00 AM,12/31/2016 7:00:00 PM,1/1/2017 1:00:00 AM,12/31/2016 8:00:00 PM,0.01000,92149.321000,3495.400,34.97,3495.400
12/31/2016 11:00:00 PM,12/31/2016 6:00:00 PM,1/1/2017 12:00:00 AM,12/31/2016 7:00:00 PM,0.01000,94792.671000,3437.700,34.42,3437.700
12/31/2016 10:00:00 PM,12/31/2016 5:00:00 PM,12/31/2016 11:00:00 PM,12/31/2016 6:00:00 PM,0.05000,94951.758000,3444.700,172.34,3444.700
12/31/2016 9:00:00 PM,12/31/2016 4:00:00 PM,12/31/2016 10:00:00 PM,12/31/2016 5:00:00 PM,0.00000,89919.378000,3063.300,0.00,3063.300
12/31/2016 8:00:00 PM,12/31/2016 3:00:00 PM,12/31/2016 9:00:00 PM,12/31/2016 4:00:00 PM,0.00000,87221.814000,3283.300,0.00,3283.300
12/31/2016 7:00:00 PM,12/31/2016 2:00:00 PM,12/31/2016 8:00:00 PM,12/31/2016 3:00:00 PM,0.00000,86131.012000,3513.700,0.00,3513.700
12/31/2016 6:00:00 PM,12/31/2016 1:00:00 PM,12/31/2016 7:00:00 PM,12/31/2016 2:00:00 PM,0.00000,86379.058000,3513.700,0.00,3513.700
12/31/2016 5:00:00 PM,12/31/2016 12:00:00 PM,12/31/2016 6:00:00 PM,12/31/2016 1:00:00 PM,0.00000,87336.416000,3593.900,0.00,3593.900
12/31/2016 4:00:00 PM,12/31/2016 11:00:00 AM,12/31/2016 5:00:00 PM,12/31/2016 12:00:00 PM,0.00000,88677.770000,3063.700,0.00,3063.700
12/31/2016 3:00:00 PM,12/31/2016 10:00:00 AM,12/31/2016 4:00:00 PM,12/31/2016 11:00:00 AM,0.00000,89970.131000,3085.400,0.00,3085.400
12/31/2016 2:00:00 PM,12/31/2016 9:00:00 AM,12/31/2016 3:00:00 PM,12/31/2016 10:00:00 AM,0.01000,90558.850000,3527.100,35.28,3527.100
12/31/2016 1:00:00 PM,12/31/2016 8:00:00 AM,12/31/2016 2:00:00 PM,12/31/2016 9:00:00 AM,0.01000,90210.822000,3367.200,33.70,3367.200
12/31/2016 12:00:00 PM,12/31/2016 7:00:00 AM,12/31/2016 1:00:00 PM,12/31/2016 8:00:00 AM,0.00000,89026.940000,3420.200,0.00,3420.200
12/31/2016 11:00:00 AM,12/31/2016 6:00:00 AM,12/31/2016 12:00:00 PM,12/31/2016 7:00:00 AM,0.00000,86401.241000,3656.200,0.00,3656.200
12/31/2016 10:00:00 AM,12/31/2016 5:00:00 AM,12/31/2016 11:00:00 AM,12/31/2016 6:00:00 AM,0.00000,83774.579000,3639.700,0.00,3639.700
12/31/2016 9:00:00 AM,12/31/2016 4:00:00 AM,12/31/2016 10:00:00 AM,12/31/2016 5:00:00 AM,0.00000,82246.991000,3489.600,0.00,3489.600
12/31/2016 8:00:00 AM,12/31/2016 3:00:00 AM,12/31/2016 9:00:00 AM,12/31/2016 4:00:00 AM,0.00000,81713.162000,3489.700,0.00,3489.700
12/31/2016 7:00:00 AM,12/31/2016 2:00:00 AM,12/31/2016 8:00:00 AM,12/31/2016 3:00:00 AM,0.00000,81967.675000,3339.700,0.00,3339.700
12/31/2016 6:00:00 AM,12/31/2016 1:00:00 AM,12/31/2016 7:00:00 AM,12/31/2016 2:00:00 AM,0.00000,83152.477000,3607.300,0.00,3607.300
12/31/2016 5:00:00 AM,12/31/2016 12:00:00 AM,12/31/2016 6:00:00 AM,12/31/2016 1:00:00 AM,0.00000,85333.192000,3549.400,0.00,3549.400
12/31/2016 4:00:00 AM,12/30/2016 11:00:00 PM,12/31/2016 5:00:00 AM,12/31/2016 12:00:00 AM,0.00000,89165.173000,3165.400,0.00,3165.400
12/31/2016 3:00:00 AM,12/30/2016 10:00:00 PM,12/31/2016 4:00:00 AM,12/30/2016 11:00:00 PM,0.00000,93372.717000,3697.000,0.00,3697.000
12/31/2016 2:00:00 AM,12/30/2016 9:00:00 PM,12/31/2016 3:00:00 AM,12/30/2016 10:00:00 PM,0.00000,96982.279000,3562.400,0.00,3562.400
12/31/2016 1:00:00 AM,12/30/2016 8:00:00 PM,12/31/2016 2:00:00 AM,12/30/2016 9:00:00 PM,0.01000,99467.850000,3512.400,35.16,3512.400
12/31/2016 12:00:00 AM,12/30/2016 7:00:00 PM,12/31/2016 1:00:00 AM,12/30/2016 8:00:00 PM,0.05000,100870.542000,4052.400,202.72,4052.400
12/30/2016 11:00:00 PM,12/30/2016 6:00:00 PM,12/31/2016 12:00:00 AM,12/30/2016 7:00:00 PM,0.05000,101933.578000,4799.700,240.06,4799.700
12/30/2016 10:00:00 PM,12/30/2016 5:00:00 PM,12/30/2016 11:00:00 PM,12/30/2016 6:00:00 PM,0.05000,100810.429000,4806.500,240.40,4806.500
12/30/2016 9:00:00 PM,12/30/2016 4:00:00 PM,12/30/2016 10:00:00 PM,12/30/2016 5:00:00 PM,0.00000,94343.926000,4747.300,0.00,4747.300
12/30/2016 8:00:00 PM,12/30/2016 3:00:00 PM,12/30/2016 9:00:00 PM,12/30/2016 4:00:00 PM,0.00000,91907.053000,5585.600,0.00,5585.600
12/30/2016 7:00:00 PM,12/30/2016 2:00:00 PM,12/30/2016 8:00:00 PM,12/30/2016 3:00:00 PM,0.00000,91866.745000,5585.600,0.00,5585.600
12/30/2016 6:00:00 PM,12/30/2016 1:00:00 PM,12/30/2016 7:00:00 PM,12/30/2016 2:00:00 PM,0.00000,92812.620000,5435.600,0.00,5435.600
12/30/2016 5:00:00 PM,12/30/2016 12:00:00 PM,12/30/2016 6:00:00 PM,12/30/2016 1:00:00 PM,0.00000,93696.880000,5284.000,0.00,5284.000
12/30/2016 4:00:00 PM,12/30/2016 11:00:00 AM,12/30/2016 5:00:00 PM,12/30/2016 12:00:00 PM,0.00000,94498.299000,5505.900,0.00,5505.900
12/30/2016 3:00:00 PM,12/30/2016 10:00:00 AM,12/30/2016 4:00:00 PM,12/30/2016 11:00:00 AM,0.00000,94913.429000,5536.400,0.00,5536.400
12/30/2016 2:00:00 PM,12/30/2016 9:00:00 AM,12/30/2016 3:00:00 PM,12/30/2016 10:00:00 AM,0.00000,94902.153000,5412.000,0.00,5412.000
12/30/2016 1:00:00 PM,12/30/2016 8:00:00 AM,12/30/2016 2:00:00 PM,12/30/2016 9:00:00 AM,0.00000,94804.347000,5455.700,0.00,5455.700
12/30/2016 12:00:00 PM,12/30/2016 7:00:00 AM,12/30/2016 1:00:00 PM,12/30/2016 8:00:00 AM,0.00000,93876.606000,5483.600,0.00,5483.600
12/30/2016 11:00:00 AM,12/30/2016 6:00:00 AM,12/30/2016 12:00:00 PM,12/30/2016 7:00:00 AM,0.00000,89658.496000,4867.700,0.00,4867.700
12/30/2016 10:00:00 AM,12/30/2016 5:00:00 AM,12/30/2016 11:00:00 AM,12/30/2016 6:00:00 AM,0.00000,84124.592000,3900.500,0.00,3900.500
12/30/2016 9:00:00 AM,12/30/2016 4:00:00 AM,12/30/2016 10:00:00 AM,12/30/2016 5:00:00 AM,0.00000,80361.984000,3655.400,0.00,3655.400
12/30/2016 8:00:00 AM,12/30/2016 3:00:00 AM,12/30/2016 9:00:00 AM,12/30/2016 4:00:00 AM,0.00000,78941.827000,3655.400,0.00,3655.400
12/30/2016 7:00:00 AM,12/30/2016 2:00:00 AM,12/30/2016 8:00:00 AM,12/30/2016 3:00:00 AM,0.00000,79075.007000,3655.400,0.00,3655.400
12/30/2016 6:00:00 AM,12/30/2016 1:00:00 AM,12/30/2016 7:00:00 AM,12/30/2016 2:00:00 AM,0.00000,79927.680000,3595.400,0.00,3595.400
12/30/2016 5:00:00 AM,12/30/2016 12:00:00 AM,12/30/2016 6:00:00 AM,12/30/2016 1:00:00 AM,0.00000,82129.755000,3758.400,0.00,3758.400
12/30/2016 4:00:00 AM,12/29/2016 11:00:00 PM,12/30/2016 5:00:00 AM,12/30/2016 12:00:00 AM,0.00000,85950.226000,3533.900,0.00,3533.900
12/30/2016 3:00:00 AM,12/29/2016 10:00:00 PM,12/30/2016 4:00:00 AM,12/29/2016 11:00:00 PM,0.00000,90841.960000,3540.000,0.00,3540.000
