datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,dasrmcp,total_pjm_rt_load_mwh,total_pjm_cleared_dasr_mwh,total_pjm_dasr_credits,total_pjm_adj_dasr_oblig_mwh
1/1/2012 4:00:00 AM,12/31/2011 11:00:00 PM,1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,0.00000,73581.483000,4589.700,0.00,4589.700
1/1/2012 3:00:00 AM,12/31/2011 10:00:00 PM,1/1/2012 4:00:00 AM,12/31/2011 11:00:00 PM,0.00000,76373.257000,4440.400,0.00,4440.400
1/1/2012 2:00:00 AM,12/31/2011 9:00:00 PM,1/1/2012 3:00:00 AM,12/31/2011 10:00:00 PM,0.00000,78936.053000,4515.800,0.00,4515.800
1/1/2012 1:00:00 AM,12/31/2011 8:00:00 PM,1/1/2012 2:00:00 AM,12/31/2011 9:00:00 PM,0.00000,81658.021000,4565.400,0.00,4565.400
1/1/2012 12:00:00 AM,12/31/2011 7:00:00 PM,1/1/2012 1:00:00 AM,12/31/2011 8:00:00 PM,0.00000,84071.834000,4440.400,0.00,4440.400
12/31/2011 11:00:00 PM,12/31/2011 6:00:00 PM,1/1/2012 12:00:00 AM,12/31/2011 7:00:00 PM,0.00000,85958.252000,4430.000,0.00,4430.000
12/31/2011 10:00:00 PM,12/31/2011 5:00:00 PM,12/31/2011 11:00:00 PM,12/31/2011 6:00:00 PM,0.00000,84818.250000,4592.200,0.00,4592.200
12/31/2011 9:00:00 PM,12/31/2011 4:00:00 PM,12/31/2011 10:00:00 PM,12/31/2011 5:00:00 PM,0.00000,78413.229000,4578.200,0.00,4578.200
12/31/2011 8:00:00 PM,12/31/2011 3:00:00 PM,12/31/2011 9:00:00 PM,12/31/2011 4:00:00 PM,0.00000,75811.305000,4580.900,0.00,4580.900
12/31/2011 7:00:00 PM,12/31/2011 2:00:00 PM,12/31/2011 8:00:00 PM,12/31/2011 3:00:00 PM,0.00000,75641.478000,4527.800,0.00,4527.800
12/31/2011 6:00:00 PM,12/31/2011 1:00:00 PM,12/31/2011 7:00:00 PM,12/31/2011 2:00:00 PM,0.00000,76334.419000,4594.500,0.00,4594.500
12/31/2011 5:00:00 PM,12/31/2011 12:00:00 PM,12/31/2011 6:00:00 PM,12/31/2011 1:00:00 PM,0.00000,76953.741000,4588.000,0.00,4588.000
12/31/2011 4:00:00 PM,12/31/2011 11:00:00 AM,12/31/2011 5:00:00 PM,12/31/2011 12:00:00 PM,0.00000,77082.750000,4589.800,0.00,4589.800
12/31/2011 3:00:00 PM,12/31/2011 10:00:00 AM,12/31/2011 4:00:00 PM,12/31/2011 11:00:00 AM,0.00000,76751.191000,4595.200,0.00,4595.200
12/31/2011 2:00:00 PM,12/31/2011 9:00:00 AM,12/31/2011 3:00:00 PM,12/31/2011 10:00:00 AM,0.00000,75260.670000,4596.500,0.00,4596.500
12/31/2011 1:00:00 PM,12/31/2011 8:00:00 AM,12/31/2011 2:00:00 PM,12/31/2011 9:00:00 AM,0.00000,73334.205000,5057.000,0.00,5057.000
12/31/2011 12:00:00 PM,12/31/2011 7:00:00 AM,12/31/2011 1:00:00 PM,12/31/2011 8:00:00 AM,0.00000,70896.546000,4494.500,0.00,4494.500
12/31/2011 11:00:00 AM,12/31/2011 6:00:00 AM,12/31/2011 12:00:00 PM,12/31/2011 7:00:00 AM,0.00000,67987.206000,4589.700,0.00,4589.700
12/31/2011 10:00:00 AM,12/31/2011 5:00:00 AM,12/31/2011 11:00:00 AM,12/31/2011 6:00:00 AM,0.00000,65585.269000,4593.800,0.00,4593.800
