datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr
1/1/2013 4:00:00 AM,12/31/2012 11:00:00 PM,1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,7.92,8.43,82786.70604,76.41000,712.79300,106.78000,618.93300,,
1/1/2013 3:00:00 AM,12/31/2012 10:00:00 PM,1/1/2013 4:00:00 AM,12/31/2012 11:00:00 PM,6.70,8.26,86464.70801,49.38000,714.62500,126.47000,601.42000,,
1/1/2013 2:00:00 AM,12/31/2012 9:00:00 PM,1/1/2013 3:00:00 AM,12/31/2012 10:00:00 PM,14.83,2.50,90452.32799,2538.42000,772.68500,153.35000,633.98200,,
1/1/2013 1:00:00 AM,12/31/2012 8:00:00 PM,1/1/2013 2:00:00 AM,12/31/2012 9:00:00 PM,14.87,2.35,94086.87199,143.74000,724.14600,142.47200,595.55700,,
1/1/2013 12:00:00 AM,12/31/2012 7:00:00 PM,1/1/2013 1:00:00 AM,12/31/2012 8:00:00 PM,12.17,2.17,97674.61905,1112.66000,752.36800,151.49600,615.25300,,
12/31/2012 11:00:00 PM,12/31/2012 6:00:00 PM,1/1/2013 12:00:00 AM,12/31/2012 7:00:00 PM,13.10,3.24,100924.74620,1854.88000,752.12200,152.56700,613.85300,,
12/31/2012 10:00:00 PM,12/31/2012 5:00:00 PM,12/31/2012 11:00:00 PM,12/31/2012 6:00:00 PM,12.43,5.50,101241.23504,586.37000,685.45000,140.50500,557.91000,,
12/31/2012 9:00:00 PM,12/31/2012 4:00:00 PM,12/31/2012 10:00:00 PM,12/31/2012 5:00:00 PM,15.80,3.12,95365.42000,0.08000,758.15500,148.34500,623.40400,,
12/31/2012 8:00:00 PM,12/31/2012 3:00:00 PM,12/31/2012 9:00:00 PM,12/31/2012 4:00:00 PM,12.79,3.79,92767.98198,0.00000,707.16000,145.25100,573.84600,,
12/31/2012 7:00:00 PM,12/31/2012 2:00:00 PM,12/31/2012 8:00:00 PM,12/31/2012 3:00:00 PM,16.58,1.66,92511.41506,0.00000,806.70600,161.47700,658.78600,,
12/31/2012 6:00:00 PM,12/31/2012 1:00:00 PM,12/31/2012 7:00:00 PM,12/31/2012 2:00:00 PM,10.16,3.72,92948.10800,94.53000,713.53500,150.74700,574.45500,,
12/31/2012 5:00:00 PM,12/31/2012 12:00:00 PM,12/31/2012 6:00:00 PM,12/31/2012 1:00:00 PM,11.82,2.03,94000.10900,532.30000,760.29000,151.75300,621.01700,,
12/31/2012 4:00:00 PM,12/31/2012 11:00:00 AM,12/31/2012 5:00:00 PM,12/31/2012 12:00:00 PM,9.71,5.99,95163.24400,237.02000,650.99000,139.09300,522.51200,,
12/31/2012 3:00:00 PM,12/31/2012 10:00:00 AM,12/31/2012 4:00:00 PM,12/31/2012 11:00:00 AM,8.41,6.80,96323.24101,197.90000,654.86500,138.20500,529.29500,,
12/31/2012 2:00:00 PM,12/31/2012 9:00:00 AM,12/31/2012 3:00:00 PM,12/31/2012 10:00:00 AM,15.09,3.68,96310.29200,1542.16000,725.73900,157.31100,581.86400,,
12/31/2012 1:00:00 PM,12/31/2012 8:00:00 AM,12/31/2012 2:00:00 PM,12/31/2012 9:00:00 AM,9.48,4.49,95345.72900,53.60000,771.11300,151.46100,633.28900,,
12/31/2012 12:00:00 PM,12/31/2012 7:00:00 AM,12/31/2012 1:00:00 PM,12/31/2012 8:00:00 AM,19.17,3.10,93920.01606,2255.34000,771.04400,155.51300,627.05900,,
12/31/2012 11:00:00 AM,12/31/2012 6:00:00 AM,12/31/2012 12:00:00 PM,12/31/2012 7:00:00 AM,44.09,2.79,90301.91797,1920.28000,746.75400,109.56000,648.50700,,
12/31/2012 10:00:00 AM,12/31/2012 5:00:00 AM,12/31/2012 11:00:00 AM,12/31/2012 6:00:00 AM,41.67,1.94,85785.20497,0.00000,747.49300,207.61900,628.15500,,
12/31/2012 9:00:00 AM,12/31/2012 4:00:00 AM,12/31/2012 10:00:00 AM,12/31/2012 5:00:00 AM,11.85,6.67,82531.28903,223.26000,410.99700,186.06200,291.45000,,
12/31/2012 8:00:00 AM,12/31/2012 3:00:00 AM,12/31/2012 9:00:00 AM,12/31/2012 4:00:00 AM,15.31,3.48,81198.56988,1093.00000,467.66200,193.84400,348.08000,,
12/31/2012 7:00:00 AM,12/31/2012 2:00:00 AM,12/31/2012 8:00:00 AM,12/31/2012 3:00:00 AM,9.17,4.91,81177.91489,420.01000,399.87700,176.82800,285.18500,,
12/31/2012 6:00:00 AM,12/31/2012 1:00:00 AM,12/31/2012 7:00:00 AM,12/31/2012 2:00:00 AM,8.58,5.99,82126.73602,226.32000,470.52100,198.73600,343.86200,,
12/31/2012 5:00:00 AM,12/31/2012 12:00:00 AM,12/31/2012 6:00:00 AM,12/31/2012 1:00:00 AM,13.92,5.01,84488.96505,603.81000,431.30700,143.15100,353.39300,,
12/31/2012 4:00:00 AM,12/30/2012 11:00:00 PM,12/31/2012 5:00:00 AM,12/31/2012 12:00:00 AM,12.47,3.87,88346.70200,350.26000,760.44700,155.47000,618.22800,,
12/31/2012 3:00:00 AM,12/30/2012 10:00:00 PM,12/31/2012 4:00:00 AM,12/30/2012 11:00:00 PM,15.74,4.52,92979.13101,381.41000,732.05100,158.74200,586.93000,,
12/31/2012 2:00:00 AM,12/30/2012 9:00:00 PM,12/31/2012 3:00:00 AM,12/30/2012 10:00:00 PM,18.89,5.52,96825.57000,4983.44000,617.71000,143.95200,485.54100,,
12/31/2012 1:00:00 AM,12/30/2012 8:00:00 PM,12/31/2012 2:00:00 AM,12/30/2012 9:00:00 PM,16.70,4.00,99305.93203,1291.89000,674.67400,148.74200,539.02500,,
12/31/2012 12:00:00 AM,12/30/2012 7:00:00 PM,12/31/2012 1:00:00 AM,12/30/2012 8:00:00 PM,11.37,3.09,100267.38403,1523.24000,707.19900,154.40900,566.73700,,
12/30/2012 11:00:00 PM,12/30/2012 6:00:00 PM,12/31/2012 12:00:00 AM,12/30/2012 7:00:00 PM,19.25,3.22,100861.23602,5276.20000,721.55200,157.54900,578.11300,,
12/30/2012 10:00:00 PM,12/30/2012 5:00:00 PM,12/30/2012 11:00:00 PM,12/30/2012 6:00:00 PM,15.44,4.84,98016.45400,438.61000,717.83600,115.82000,616.01400,,
12/30/2012 9:00:00 PM,12/30/2012 4:00:00 PM,12/30/2012 10:00:00 PM,12/30/2012 5:00:00 PM,10.45,6.65,89588.21205,391.82000,724.70600,113.18300,624.78900,,
12/30/2012 8:00:00 PM,12/30/2012 3:00:00 PM,12/30/2012 9:00:00 PM,12/30/2012 4:00:00 PM,12.02,5.55,86410.47203,10.76000,708.26400,116.06800,604.33100,,
12/30/2012 7:00:00 PM,12/30/2012 2:00:00 PM,12/30/2012 8:00:00 PM,12/30/2012 3:00:00 PM,16.68,3.61,86295.27902,961.23000,688.10800,131.50400,568.33000,,
