datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,dasrmcp,total_pjm_rt_load_mwh,total_pjm_cleared_dasr_mwh,total_pjm_dasr_credits,total_pjm_adj_dasr_oblig_mwh
1/1/2014 4:00:00 AM,12/31/2013 11:00:00 PM,1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,0.00000,92204.324000,5882.300,0.00,5882.300
1/1/2014 3:00:00 AM,12/31/2013 10:00:00 PM,1/1/2014 4:00:00 AM,12/31/2013 11:00:00 PM,0.00000,95219.179000,6137.400,0.00,6137.400
1/1/2014 2:00:00 AM,12/31/2013 9:00:00 PM,1/1/2014 3:00:00 AM,12/31/2013 10:00:00 PM,0.00000,98352.910000,6271.300,0.00,6271.300
1/1/2014 1:00:00 AM,12/31/2013 8:00:00 PM,1/1/2014 2:00:00 AM,12/31/2013 9:00:00 PM,0.00000,101600.089000,6349.500,0.00,6349.500
1/1/2014 12:00:00 AM,12/31/2013 7:00:00 PM,1/1/2014 1:00:00 AM,12/31/2013 8:00:00 PM,0.01000,104530.025000,6316.200,63.22,6316.200
12/31/2013 11:00:00 PM,12/31/2013 6:00:00 PM,1/1/2014 12:00:00 AM,12/31/2013 7:00:00 PM,0.01000,107164.104000,6304.500,63.10,6304.500
12/31/2013 10:00:00 PM,12/31/2013 5:00:00 PM,12/31/2013 11:00:00 PM,12/31/2013 6:00:00 PM,0.01000,105713.249000,6395.700,64.02,6395.700
12/31/2013 9:00:00 PM,12/31/2013 4:00:00 PM,12/31/2013 10:00:00 PM,12/31/2013 5:00:00 PM,0.00000,98152.281000,6481.300,0.00,6481.300
12/31/2013 8:00:00 PM,12/31/2013 3:00:00 PM,12/31/2013 9:00:00 PM,12/31/2013 4:00:00 PM,0.00000,95939.842000,6462.700,0.00,6462.700
12/31/2013 7:00:00 PM,12/31/2013 2:00:00 PM,12/31/2013 8:00:00 PM,12/31/2013 3:00:00 PM,0.00000,96447.112000,6809.300,0.00,6809.300
12/31/2013 6:00:00 PM,12/31/2013 1:00:00 PM,12/31/2013 7:00:00 PM,12/31/2013 2:00:00 PM,0.00000,97740.281000,6332.100,0.00,6332.100
12/31/2013 5:00:00 PM,12/31/2013 12:00:00 PM,12/31/2013 6:00:00 PM,12/31/2013 1:00:00 PM,0.00000,98756.532000,6568.300,0.00,6568.300
12/31/2013 4:00:00 PM,12/31/2013 11:00:00 AM,12/31/2013 5:00:00 PM,12/31/2013 12:00:00 PM,0.00000,100385.480000,6901.200,0.00,6901.200
12/31/2013 3:00:00 PM,12/31/2013 10:00:00 AM,12/31/2013 4:00:00 PM,12/31/2013 11:00:00 AM,0.00000,101243.502000,6674.600,0.00,6674.600
12/31/2013 2:00:00 PM,12/31/2013 9:00:00 AM,12/31/2013 3:00:00 PM,12/31/2013 10:00:00 AM,0.00000,101271.501000,6702.200,0.00,6702.200
12/31/2013 1:00:00 PM,12/31/2013 8:00:00 AM,12/31/2013 2:00:00 PM,12/31/2013 9:00:00 AM,0.00000,100803.071000,6725.100,0.00,6725.100
12/31/2013 12:00:00 PM,12/31/2013 7:00:00 AM,12/31/2013 1:00:00 PM,12/31/2013 8:00:00 AM,0.00000,99224.566000,6714.900,0.00,6714.900
12/31/2013 11:00:00 AM,12/31/2013 6:00:00 AM,12/31/2013 12:00:00 PM,12/31/2013 7:00:00 AM,0.00000,94455.224000,6210.900,0.00,6210.900
12/31/2013 10:00:00 AM,12/31/2013 5:00:00 AM,12/31/2013 11:00:00 AM,12/31/2013 6:00:00 AM,0.00000,88769.426000,5867.300,0.00,5867.300
12/31/2013 9:00:00 AM,12/31/2013 4:00:00 AM,12/31/2013 10:00:00 AM,12/31/2013 5:00:00 AM,0.00000,84733.142000,5860.500,0.00,5860.500
12/31/2013 8:00:00 AM,12/31/2013 3:00:00 AM,12/31/2013 9:00:00 AM,12/31/2013 4:00:00 AM,0.00000,83413.234000,5737.300,0.00,5737.300
12/31/2013 7:00:00 AM,12/31/2013 2:00:00 AM,12/31/2013 8:00:00 AM,12/31/2013 3:00:00 AM,0.00000,83520.257000,5657.200,0.00,5657.200
12/31/2013 6:00:00 AM,12/31/2013 1:00:00 AM,12/31/2013 7:00:00 AM,12/31/2013 2:00:00 AM,0.00000,84624.265000,6654.200,0.00,6654.200
12/31/2013 5:00:00 AM,12/31/2013 12:00:00 AM,12/31/2013 6:00:00 AM,12/31/2013 1:00:00 AM,0.00000,87276.016000,5798.000,0.00,5798.000
12/31/2013 4:00:00 AM,12/30/2013 11:00:00 PM,12/31/2013 5:00:00 AM,12/31/2013 12:00:00 AM,0.00000,91855.888000,6063.700,0.00,6063.700
12/31/2013 3:00:00 AM,12/30/2013 10:00:00 PM,12/31/2013 4:00:00 AM,12/30/2013 11:00:00 PM,0.00000,97635.263000,5894.000,0.00,5894.000
12/31/2013 2:00:00 AM,12/30/2013 9:00:00 PM,12/31/2013 3:00:00 AM,12/30/2013 10:00:00 PM,0.00000,102630.849000,6158.900,0.00,6158.900
12/31/2013 1:00:00 AM,12/30/2013 8:00:00 PM,12/31/2013 2:00:00 AM,12/30/2013 9:00:00 PM,0.01000,105723.577000,5972.100,59.77,5972.100
12/31/2013 12:00:00 AM,12/30/2013 7:00:00 PM,12/31/2013 1:00:00 AM,12/30/2013 8:00:00 PM,0.01000,107424.240000,5977.400,59.81,5977.400
