datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr
1/1/2018 4:00:00 AM,12/31/2017 11:00:00 PM,1/1/2018 5:00:00 AM,1/1/2018 12:00:00 AM,314.19,4.45,111025.17195,41575.54000,559.58400,191.99900,450.72400,,
1/1/2018 3:00:00 AM,12/31/2017 10:00:00 PM,1/1/2018 4:00:00 AM,12/31/2017 11:00:00 PM,24.79,1.43,112957.96100,1013.85000,591.62400,198.82300,480.83700,,
1/1/2018 2:00:00 AM,12/31/2017 9:00:00 PM,1/1/2018 3:00:00 AM,12/31/2017 10:00:00 PM,17.18,1.75,115478.41094,1349.84000,594.21000,194.10600,487.85100,,
1/1/2018 1:00:00 AM,12/31/2017 8:00:00 PM,1/1/2018 2:00:00 AM,12/31/2017 9:00:00 PM,17.62,0.98,117376.00503,13425.42000,603.33200,211.07900,484.14400,,
1/1/2018 12:00:00 AM,12/31/2017 7:00:00 PM,1/1/2018 1:00:00 AM,12/31/2017 8:00:00 PM,41.24,1.06,119116.21494,162.22000,583.98300,202.56100,472.17300,,
12/31/2017 11:00:00 PM,12/31/2017 6:00:00 PM,1/1/2018 12:00:00 AM,12/31/2017 7:00:00 PM,24.09,0.00,120677.42601,3487.26000,579.85000,212.94800,460.78700,,
12/31/2017 10:00:00 PM,12/31/2017 5:00:00 PM,12/31/2017 11:00:00 PM,12/31/2017 6:00:00 PM,250.88,1.63,118729.96500,57559.76000,633.89300,203.65300,519.53300,,
12/31/2017 9:00:00 PM,12/31/2017 4:00:00 PM,12/31/2017 10:00:00 PM,12/31/2017 5:00:00 PM,34.60,1.09,112101.90194,14768.41000,606.43600,198.51300,500.77600,,
12/31/2017 8:00:00 PM,12/31/2017 3:00:00 PM,12/31/2017 9:00:00 PM,12/31/2017 4:00:00 PM,53.08,1.72,108998.04999,19740.58000,368.23900,130.47200,291.37300,,
12/31/2017 7:00:00 PM,12/31/2017 2:00:00 PM,12/31/2017 8:00:00 PM,12/31/2017 3:00:00 PM,60.56,2.45,108227.60497,29038.68000,379.86100,162.37200,279.27600,,
12/31/2017 6:00:00 PM,12/31/2017 1:00:00 PM,12/31/2017 7:00:00 PM,12/31/2017 2:00:00 PM,14.58,1.76,108157.62097,91.48000,365.22000,145.54700,277.42200,,
12/31/2017 5:00:00 PM,12/31/2017 12:00:00 PM,12/31/2017 6:00:00 PM,12/31/2017 1:00:00 PM,10.68,1.45,108709.35712,563.21000,372.82800,150.20000,281.17700,,
12/31/2017 4:00:00 PM,12/31/2017 11:00:00 AM,12/31/2017 5:00:00 PM,12/31/2017 12:00:00 PM,99.11,1.37,109450.45401,4459.81000,375.62700,128.73500,299.27700,,
12/31/2017 3:00:00 PM,12/31/2017 10:00:00 AM,12/31/2017 4:00:00 PM,12/31/2017 11:00:00 AM,29.12,2.35,110014.53798,15182.71000,338.01000,116.40200,269.66800,,
12/31/2017 2:00:00 PM,12/31/2017 9:00:00 AM,12/31/2017 3:00:00 PM,12/31/2017 10:00:00 AM,72.96,2.06,109732.56197,9580.60000,363.66700,128.96900,287.15800,,
12/31/2017 1:00:00 PM,12/31/2017 8:00:00 AM,12/31/2017 2:00:00 PM,12/31/2017 9:00:00 AM,55.58,1.42,108775.53397,3445.35000,575.82500,156.96200,492.01900,,
12/31/2017 12:00:00 PM,12/31/2017 7:00:00 AM,12/31/2017 1:00:00 PM,12/31/2017 8:00:00 AM,41.24,1.68,107054.96995,5488.09000,616.26800,167.35700,530.23800,,
12/31/2017 11:00:00 AM,12/31/2017 6:00:00 AM,12/31/2017 12:00:00 PM,12/31/2017 7:00:00 AM,70.02,1.14,104283.33197,11701.86000,599.28400,176.20600,510.07500,,
12/31/2017 10:00:00 AM,12/31/2017 5:00:00 AM,12/31/2017 11:00:00 AM,12/31/2017 6:00:00 AM,50.25,1.80,101557.30299,3758.40000,600.88000,154.57900,518.00400,,
12/31/2017 9:00:00 AM,12/31/2017 4:00:00 AM,12/31/2017 10:00:00 AM,12/31/2017 5:00:00 AM,22.22,1.70,99868.38701,1870.03000,582.44400,158.50200,497.98700,,
12/31/2017 8:00:00 AM,12/31/2017 3:00:00 AM,12/31/2017 9:00:00 AM,12/31/2017 4:00:00 AM,18.22,2.53,98983.43099,383.83000,317.88900,142.20400,220.59500,,
12/31/2017 7:00:00 AM,12/31/2017 2:00:00 AM,12/31/2017 8:00:00 AM,12/31/2017 3:00:00 AM,7.90,0.00,98735.98893,110.50000,378.88900,150.37100,280.88200,,
12/31/2017 6:00:00 AM,12/31/2017 1:00:00 AM,12/31/2017 7:00:00 AM,12/31/2017 2:00:00 AM,44.34,2.35,99177.20701,4761.80000,400.04500,145.70400,308.87700,,
12/31/2017 5:00:00 AM,12/31/2017 12:00:00 AM,12/31/2017 6:00:00 AM,12/31/2017 1:00:00 AM,67.14,0.00,100955.04497,1287.92000,393.99400,155.07400,292.21700,,
12/31/2017 4:00:00 AM,12/30/2017 11:00:00 PM,12/31/2017 5:00:00 AM,12/31/2017 12:00:00 AM,91.44,1.68,103521.54697,240.07000,567.16900,182.43100,466.81800,,
12/31/2017 3:00:00 AM,12/30/2017 10:00:00 PM,12/31/2017 4:00:00 AM,12/30/2017 11:00:00 PM,96.55,1.82,107255.41702,1231.42000,559.32400,188.63800,450.61000,,
12/31/2017 2:00:00 AM,12/30/2017 9:00:00 PM,12/31/2017 3:00:00 AM,12/30/2017 10:00:00 PM,22.07,1.30,110311.38400,474.80000,582.75800,199.99800,468.34000,,
12/31/2017 1:00:00 AM,12/30/2017 8:00:00 PM,12/31/2017 2:00:00 AM,12/30/2017 9:00:00 PM,26.15,1.27,112052.72694,107.18000,564.37600,199.13000,447.27700,,
12/31/2017 12:00:00 AM,12/30/2017 7:00:00 PM,12/31/2017 1:00:00 AM,12/30/2017 8:00:00 PM,14.99,1.25,112435.78495,595.27000,560.94100,200.44500,441.80500,,
12/30/2017 11:00:00 PM,12/30/2017 6:00:00 PM,12/31/2017 12:00:00 AM,12/30/2017 7:00:00 PM,25.47,1.64,112705.87396,0.00000,549.18000,209.58300,419.78700,,
12/30/2017 10:00:00 PM,12/30/2017 5:00:00 PM,12/30/2017 11:00:00 PM,12/30/2017 6:00:00 PM,42.19,0.81,110407.60800,0.00000,568.83200,222.24900,429.99500,,
12/30/2017 9:00:00 PM,12/30/2017 4:00:00 PM,12/30/2017 10:00:00 PM,12/30/2017 5:00:00 PM,32.19,2.29,104438.35196,0.00000,579.33500,184.17200,478.50900,,
12/30/2017 8:00:00 PM,12/30/2017 3:00:00 PM,12/30/2017 9:00:00 PM,12/30/2017 4:00:00 PM,13.21,1.79,101705.05291,515.98000,364.36100,179.90300,237.26500,,
12/30/2017 7:00:00 PM,12/30/2017 2:00:00 PM,12/30/2017 8:00:00 PM,12/30/2017 3:00:00 PM,14.45,1.79,101664.49804,194.92000,401.31000,199.59800,260.30500,,
12/30/2017 6:00:00 PM,12/30/2017 1:00:00 PM,12/30/2017 7:00:00 PM,12/30/2017 2:00:00 PM,43.23,2.09,102573.12501,1480.50000,362.66400,186.97900,228.29900,,
12/30/2017 5:00:00 PM,12/30/2017 12:00:00 PM,12/30/2017 6:00:00 PM,12/30/2017 1:00:00 PM,18.59,2.42,104162.07595,1013.96000,395.00500,180.39600,272.05600,,
12/30/2017 4:00:00 PM,12/30/2017 11:00:00 AM,12/30/2017 5:00:00 PM,12/30/2017 12:00:00 PM,13.14,2.03,105619.93594,850.08000,379.06400,175.09500,260.24300,,
12/30/2017 3:00:00 PM,12/30/2017 10:00:00 AM,12/30/2017 4:00:00 PM,12/30/2017 11:00:00 AM,28.42,2.42,106404.02407,0.00000,402.92900,149.46400,300.45700,,
12/30/2017 2:00:00 PM,12/30/2017 9:00:00 AM,12/30/2017 3:00:00 PM,12/30/2017 10:00:00 AM,25.30,1.86,105789.53896,1685.87000,483.66900,146.74300,389.25200,,
12/30/2017 1:00:00 PM,12/30/2017 8:00:00 AM,12/30/2017 2:00:00 PM,12/30/2017 9:00:00 AM,162.97,1.95,103434.68201,3748.04000,594.76900,155.27500,501.55100,,
12/30/2017 12:00:00 PM,12/30/2017 7:00:00 AM,12/30/2017 1:00:00 PM,12/30/2017 8:00:00 AM,163.87,2.08,101142.93899,131.61000,572.00500,173.09700,474.60800,,
12/30/2017 11:00:00 AM,12/30/2017 6:00:00 AM,12/30/2017 12:00:00 PM,12/30/2017 7:00:00 AM,52.29,1.60,98183.02904,3456.08000,601.05900,201.90800,491.55500,,
12/30/2017 10:00:00 AM,12/30/2017 5:00:00 AM,12/30/2017 11:00:00 AM,12/30/2017 6:00:00 AM,17.21,1.51,95688.34896,362.48000,591.05900,184.68100,488.80200,,
