datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,dasrmcp,total_pjm_rt_load_mwh,total_pjm_cleared_dasr_mwh,total_pjm_dasr_credits,total_pjm_adj_dasr_oblig_mwh
1/1/2016 4:00:00 AM,12/31/2015 11:00:00 PM,1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,0.00000,78079.301000,3626.800,0.00,3626.800
1/1/2016 3:00:00 AM,12/31/2015 10:00:00 PM,1/1/2016 4:00:00 AM,12/31/2015 11:00:00 PM,0.00000,81123.360000,3730.500,0.00,3730.500
1/1/2016 2:00:00 AM,12/31/2015 9:00:00 PM,1/1/2016 3:00:00 AM,12/31/2015 10:00:00 PM,0.01000,84189.953000,4252.100,42.53,4252.100
1/1/2016 1:00:00 AM,12/31/2015 8:00:00 PM,1/1/2016 2:00:00 AM,12/31/2015 9:00:00 PM,0.09000,87231.321000,4252.200,382.72,4252.200
1/1/2016 12:00:00 AM,12/31/2015 7:00:00 PM,1/1/2016 1:00:00 AM,12/31/2015 8:00:00 PM,0.19000,90093.368000,4514.800,857.84,4514.800
12/31/2015 11:00:00 PM,12/31/2015 6:00:00 PM,1/1/2016 12:00:00 AM,12/31/2015 7:00:00 PM,0.24000,92821.667000,4718.700,1132.48,4718.700
12/31/2015 10:00:00 PM,12/31/2015 5:00:00 PM,12/31/2015 11:00:00 PM,12/31/2015 6:00:00 PM,0.24000,92731.416000,4766.800,1144.01,4766.800
12/31/2015 9:00:00 PM,12/31/2015 4:00:00 PM,12/31/2015 10:00:00 PM,12/31/2015 5:00:00 PM,0.01000,87461.328000,4882.200,48.80,4882.200
12/31/2015 8:00:00 PM,12/31/2015 3:00:00 PM,12/31/2015 9:00:00 PM,12/31/2015 4:00:00 PM,0.00000,84432.755000,4729.100,0.00,4729.100
12/31/2015 7:00:00 PM,12/31/2015 2:00:00 PM,12/31/2015 8:00:00 PM,12/31/2015 3:00:00 PM,0.00000,84140.201000,4738.300,0.00,4738.300
